PMID,chromatography,class,food_term_count,gen_term_count,sci_term_count,spectrometry,spectrophotometry,chem_ent_ratio,chem_term_count,bigram_score
31348972,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.07894736842105263,3,0.0
31325754,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.2222222222222222,12,0.0
31325746,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.3620689655172414,21,0.0
31298265,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.11267605633802817,8,0.0
31290918,1.0,1.0,6.0,0.0,0.0,1.0,0.0,0.18518518518518517,15,0.0
31287302,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.09259259259259259,5,0.0
31250438,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0
31244205,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.2857142857142857,4,0.0
31242716,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.11627906976744186,5,0.0
31234319,1.0,1.0,6.0,0.0,0.0,1.0,0.0,0.13793103448275862,4,0.0
31214756,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.20930232558139536,9,0.0
31196586,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.24242424242424243,8,0.0
31152225,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0,0.0
31151604,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.11538461538461539,3,0.0
31151592,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.13333333333333333,6,0.0
31151548,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.11538461538461539,6,0.0
31147019,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.1323529411764706,9,0.0
31128715,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.08823529411764706,6,0.0
31126510,0.0,1.0,10.0,1.0,0.0,0.0,0.0,0.2564102564102564,10,0.0
31126494,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.16666666666666666,8,0.0
31121914,1.0,1.0,3.0,1.0,0.0,1.0,0.0,0.18055555555555555,13,0.0
31121500,1.0,0.0,6.0,0.0,0.0,1.0,0.0,0.17857142857142858,10,0.0
31119557,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.2087912087912088,19,0.0
31042679,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.14035087719298245,8,0.0
31042591,1.0,0.0,3.0,2.0,0.0,1.0,0.0,0.21311475409836064,13,0.0
31029366,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.12195121951219512,10,0.0
31000313,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.16666666666666666,10,0.0
31000046,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.23809523809523808,5,0.0
30993530,0.0,1.0,21.0,4.0,0.0,1.0,0.0,0.11864406779661017,14,0.0
30987729,0.0,0.0,2.0,5.0,0.0,1.0,0.0,0.024390243902439025,1,0.0
30955661,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.19148936170212766,9,0.0
30955609,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.08928571428571429,5,0.0
30919973,0.0,1.0,4.0,0.0,0.0,1.0,0.0,0.09523809523809523,2,0.0
30911801,1.0,0.0,5.0,1.0,0.0,1.0,0.0,0.057971014492753624,4,0.0
30897820,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2,1,0.0
30892113,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0.0
30889479,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.15789473684210525,15,0.0
30866542,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.21739130434782608,5,0.0
30857357,1.0,1.0,3.0,0.0,0.0,1.0,0.0,0.05714285714285714,4,0.0
30830775,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,0.0
30811532,1.0,0.0,8.0,0.0,1.0,1.0,0.0,0.15789473684210525,18,0.0
30806167,1.0,0.0,3.0,3.0,0.0,1.0,0.0,0.1702127659574468,16,0.0
30801944,0.0,0.0,12.0,0.0,0.0,1.0,0.0,0.03508771929824561,4,0.0
30777789,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.109375,7,0.0
30771949,1.0,1.0,8.0,0.0,0.0,0.0,1.0,0.04477611940298507,3,0.0
30768267,1.0,0.0,9.0,1.0,0.0,1.0,0.0,0.28378378378378377,21,0.0
30763353,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.1320754716981132,7,0.0
30762270,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0
30738615,1.0,1.0,3.0,0.0,0.0,1.0,0.0,0.18032786885245902,11,0.0
30716987,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.16,8,0.0
30706076,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.08771929824561403,5,0.0
30673376,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.20833333333333334,10,0.0
30666637,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.09523809523809523,2,0.0
30642490,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.07142857142857142,3,0.0
30605012,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.16129032258064516,5,0.0
30602326,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1346153846153846,7,0.0
30569623,1.0,1.0,5.0,0.0,0.0,1.0,0.0,0.05555555555555555,1,0.0
30552373,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.03076923076923077,2,0.0
