PMID,chromatography,class,food_term_count,gen_term_count,sci_term_count,spectrometry,spectrophotometry,chem_ent_ratio,chem_term_count,bigram_score
26764330,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.16666666666666666,1,0.0
26617005,0.0,1.0,4.0,0.0,1.0,1.0,0.0,0.17073170731707318,7,0.0
26502719,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.125,1,0.0
26245522,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0
26161901,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.05128205128205128,2,0.0
26047911,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2222222222222222,12,0.0
26043852,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.014705882352941176,1,0.0
25976995,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.26,13,0.0
25940980,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.07575757575757576,5,0.0
25832010,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.18571428571428572,13,0.0
25819001,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.33783783783783783,25,0.0
25705718,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.15492957746478872,11,0.0
25679258,0.0,0.0,7.0,0.0,0.0,1.0,0.0,0.1016949152542373,6,0.0
25619986,1.0,0.0,5.0,0.0,0.0,1.0,0.0,0.05263157894736842,2,0.0
25608858,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.14864864864864866,11,0.0
25589062,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.21621621621621623,16,0.0
25438250,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.25,21,0.0
25435627,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0
25435245,1.0,1.0,3.0,0.0,0.0,1.0,0.0,0.1794871794871795,14,0.0
25420111,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.1797752808988764,16,0.0
25401128,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.14285714285714285,8,0.0
