PMID,chromatography,class,food_term_count,gen_term_count,sci_term_count,spectrometry,spectrophotometry,chem_ent_ratio,chem_term_count,bigram_score
21819158,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.2558139534883721,11,0.0
27795344,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0,0.0
23041474,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.14492753623188406,10,0.0
27176001,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.2,16,0.0
28415017,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,7,0.0
26768597,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.16049382716049382,13,0.0
24786625,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.1590909090909091,7,0.0
12537419,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.22857142857142856,16,0.0
24962135,1.0,0.0,1.0,5.0,0.0,1.0,0.0,0.15789473684210525,9,0.0
22849827,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.08333333333333333,6,0.0
24401377,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.20253164556962025,16,0.0
14760852,1.0,0.0,9.0,0.0,0.0,0.0,0.0,0.06593406593406594,6,0.0
16637672,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.04819277108433735,4,0.0
12480305,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.21311475409836064,13,0.0
25833003,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2903225806451613,18,0.0
15053518,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.1414141414141414,14,0.0
25053037,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.323943661971831,23,0.0
11893788,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.15625,10,0.0
26923226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2631578947368421,15,0.0
18371766,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.10344827586206896,6,0.0
15161179,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.28846153846153844,15,0.0
16719534,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.10588235294117647,9,0.0
21094947,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.11428571428571428,8,0.0
16314166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36363636363636365,24,0.0
21409610,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.11475409836065574,7,0.0
28779575,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.2631578947368421,5,0.0
28419110,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.07272727272727272,4,0.0
16881674,1.0,1.0,8.0,1.0,0.0,1.0,0.0,0.3287671232876712,24,0.0
12166966,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.25,18,0.0
23349790,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.045871559633027525,5,0.0
28318272,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.10909090909090909,6,0.0
19191673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,6,0.0
25062492,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.11428571428571428,8,0.0
15264891,1.0,1.0,4.0,0.0,0.0,1.0,0.0,0.08620689655172414,5,0.0
27418182,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.1956521739130435,9,0.0
28207258,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.42857142857142855,3,0.0
